ImageID,Taxa in original image,"Makes treefile / svg? (1=yes, 0=no)",GenBankIDs,Pseudo-GB-IDs,Pseudo/Total %,Tree Assessment (out of 100),Taxon labels missing,Can TreeGraph2 interpret Newick output,Number of OCR errors (raw number of incorrect characters),Notes,Link to Original Image
64918-0-003,n/a,1,n/a,n/a,n/a,,,1,,2 trees,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64918-0-003.pbm.png
64918-0-004,n/a,1,n/a,n/a,n/a,,,1,,3 trees,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64918-0-004.pbm.png
64918-0-005,n/a,1,n/a,n/a,n/a,,,0,,2 trees,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64918-0-005.pbm.png
64920-0-000,20,1,13,14,70,100,,1,8,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64920-0-000.pbm.png
64921-0-000,21,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64921-0-000.pbm.png
64922-0-000,12,1,0,0,0,100,,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64922-0-000.pbm.png
64925-0-001,25,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64925-0-001.pbm.png
64926-0-000,14,1,12,12,85.71428571,100,2,1,14,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64926-0-000.pbm.png
64927-0-000,9,1,7,9,100,100,,1,8,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64927-0-000.pbm.png
64928-0-000,16,1,12,12,75,100,4,1,10,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64928-0-000.pbm.png
64932-0-003,11,1,3,3,27.27272727,n/a,,1,10,subtree only,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64932-0-003.pbm.png
64933-0-001,8,1,7,7,87.5,90,(+1),1,0,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64933-0-001.pbm.png
64934-0-001,28,1,21,23,82.14285714,100,5,1,14,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64934-0-001.pbm.png
64935-0-000,40,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64935-0-000.pbm.png
64936-0-000,23,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.64936-0-000.pbm.png
